,Latent,Distance,Pearsonr,Dimension
0,Map,Inter-Type,0.4870860489183269,MCML 2D
1,Map,Intra-Type,0.2560091532700287,MCML 2D
2,Map,Inter-Type,0.5377785684390572,MCML 2D
3,Map,Intra-Type,0.585730642013869,MCML 2D
4,Map,Inter-Type,0.4610429717518456,MCML 2D
5,Map,Intra-Type,0.18543084233356977,MCML 2D
6,Map,Inter-Type,0.42028081946017065,MCML 2D
7,Map,Intra-Type,0.35572209933582744,MCML 2D
8,Map,Inter-Type,0.4323406175227885,MCML 2D
9,Map,Intra-Type,0.26052256566142895,MCML 2D
10,Elephant,Inter-Type,0.5686463003043026,MCML 2D
11,Elephant,Intra-Type,0.4602198511123296,MCML 2D
12,Elephant,Inter-Type,0.7452459912594086,MCML 2D
13,Elephant,Intra-Type,0.3669809187312273,MCML 2D
14,Elephant,Inter-Type,0.6273810015780128,MCML 2D
15,Elephant,Intra-Type,0.22911773083720954,MCML 2D
16,Elephant,Inter-Type,0.7357283982309804,MCML 2D
17,Elephant,Intra-Type,0.38459139336392617,MCML 2D
18,Elephant,Inter-Type,0.5515695522486405,MCML 2D
19,Elephant,Intra-Type,0.3781757398548169,MCML 2D
20,Flower,Inter-Type,0.7494063300367481,MCML 2D
21,Flower,Intra-Type,0.34478285066372394,MCML 2D
22,Flower,Inter-Type,0.7360988611907698,MCML 2D
23,Flower,Intra-Type,0.3847731196959715,MCML 2D
24,Flower,Inter-Type,0.7402591014156457,MCML 2D
25,Flower,Intra-Type,0.3803593224440538,MCML 2D
26,Flower,Inter-Type,0.7530143389673795,MCML 2D
27,Flower,Intra-Type,0.3968543006030493,MCML 2D
28,Flower,Inter-Type,0.7431368655330561,MCML 2D
29,Flower,Intra-Type,0.3993038221345273,MCML 2D
30,PCA 50D,Inter-Type,0.8629021473427274,50D
31,PCA 50D,Intra-Type,0.7711268468225849,50D
32,PCA 2D,Inter-Type,0.7711118598398529,2D
33,PCA 2D,Intra-Type,0.739496418675115,2D
34,PCA TSNE,Inter-Type,0.5357070293603172,2D
35,PCA TSNE,Intra-Type,0.36341999921831564,2D
36,PCA UMAP,Inter-Type,0.49906699723420767,2D
37,PCA UMAP,Intra-Type,0.3694227893759862,2D
38,PCA densSNE,Inter-Type,0.6289674349017955,dens 2D
39,PCA densSNE,Intra-Type,0.4915064352326484,dens 2D
40,PCA densMAP,Inter-Type,0.6359722907366062,dens 2D
41,PCA densMAP,Intra-Type,0.6376353643620642,dens 2D
42,PCA 50D,Inter-Type,0.8627176071724955,50D
43,PCA 50D,Intra-Type,0.7688340267947804,50D
44,PCA 2D,Inter-Type,0.7711113767178189,2D
45,PCA 2D,Intra-Type,0.7394962282016035,2D
46,PCA TSNE,Inter-Type,0.5093968630343523,2D
47,PCA TSNE,Intra-Type,0.23325299530026986,2D
48,PCA UMAP,Inter-Type,0.576919005163014,2D
49,PCA UMAP,Intra-Type,0.2005910454928654,2D
50,PCA densSNE,Inter-Type,0.6644448782999894,dens 2D
51,PCA densSNE,Intra-Type,0.4821554482291394,dens 2D
52,PCA densMAP,Inter-Type,0.5648837279681791,dens 2D
53,PCA densMAP,Intra-Type,0.6213821119242617,dens 2D
54,PCA 50D,Inter-Type,0.8628524284475678,50D
55,PCA 50D,Intra-Type,0.7728535704026287,50D
56,PCA 2D,Inter-Type,0.7711110667131896,2D
57,PCA 2D,Intra-Type,0.7394961218871793,2D
58,PCA TSNE,Inter-Type,0.5874972681762014,2D
59,PCA TSNE,Intra-Type,0.336566113809412,2D
60,PCA UMAP,Inter-Type,0.5678799202436229,2D
61,PCA UMAP,Intra-Type,0.33104799971071736,2D
62,PCA densSNE,Inter-Type,0.6562766260470517,dens 2D
63,PCA densSNE,Intra-Type,0.5056897117647993,dens 2D
64,PCA densMAP,Inter-Type,0.6476138609920304,dens 2D
65,PCA densMAP,Intra-Type,0.6805932021404357,dens 2D
66,PCA 50D,Inter-Type,0.8629430587815343,50D
67,PCA 50D,Intra-Type,0.7687574219749556,50D
68,PCA 2D,Inter-Type,0.7711114374288722,2D
69,PCA 2D,Intra-Type,0.7394962008873762,2D
70,PCA TSNE,Inter-Type,0.6496502741670682,2D
71,PCA TSNE,Intra-Type,0.15050292678123875,2D
72,PCA UMAP,Inter-Type,0.5541883959415302,2D
73,PCA UMAP,Intra-Type,0.33283626011931733,2D
74,PCA densSNE,Inter-Type,0.636810188347392,dens 2D
75,PCA densSNE,Intra-Type,0.5102380109006337,dens 2D
76,PCA densMAP,Inter-Type,0.6687044294697169,dens 2D
77,PCA densMAP,Intra-Type,0.6807559781283127,dens 2D
78,PCA 50D,Inter-Type,0.8628840966814012,50D
79,PCA 50D,Intra-Type,0.7706357520836378,50D
80,PCA 2D,Inter-Type,0.7711114586283869,2D
81,PCA 2D,Intra-Type,0.7394962665261642,2D
82,PCA TSNE,Inter-Type,0.5954923663700065,2D
83,PCA TSNE,Intra-Type,0.3846296827742281,2D
84,PCA UMAP,Inter-Type,0.5857269742053349,2D
85,PCA UMAP,Intra-Type,0.16993491513766726,2D
86,PCA densSNE,Inter-Type,0.6472642701372056,dens 2D
87,PCA densSNE,Intra-Type,0.5075028961686472,dens 2D
88,PCA densMAP,Inter-Type,0.5915915395534201,dens 2D
89,PCA densMAP,Intra-Type,0.4949370923634198,dens 2D
