,Latent,Distance,Pearsonr
0,Elephant,Inter-Type,0.5217221674989588
1,Elephant,Intra-Type,-0.16672249728467659
2,Elephant,Inter-Type,0.5705890778122931
3,Elephant,Intra-Type,0.7211270022724666
4,Elephant,Inter-Type,0.508016651848265
5,Elephant,Intra-Type,0.5234249865231233
6,Elephant,Inter-Type,0.6124914661385013
7,Elephant,Intra-Type,0.3295630892576707
8,Elephant,Inter-Type,0.6285712578655862
9,Elephant,Intra-Type,0.4296795672612756
10,Flower,Inter-Type,0.5795253716779835
11,Flower,Intra-Type,0.2357562748921371
12,Flower,Inter-Type,0.5571704109873094
13,Flower,Intra-Type,0.3052196150047221
14,Flower,Inter-Type,0.5700376454781606
15,Flower,Intra-Type,0.5105715072909868
16,Flower,Inter-Type,0.4639626717889761
17,Flower,Intra-Type,0.36968449138616694
18,Flower,Inter-Type,0.6166135342266607
19,Flower,Intra-Type,0.3921887077504951
20,PCA 50D,Inter-Type,0.9290209460885469
21,PCA 50D,Intra-Type,0.9586997617792701
22,PCA 2D,Inter-Type,0.5901243113086545
23,PCA 2D,Intra-Type,0.6809146324919557
24,PCA TSNE,Inter-Type,0.6190101772118083
25,PCA TSNE,Intra-Type,-0.15573364374953655
26,PCA UMAP,Inter-Type,0.5766283737463217
27,PCA UMAP,Intra-Type,-0.1462304489981859
28,PCA densSNE,Inter-Type,0.6229298657443859
29,PCA densSNE,Intra-Type,0.08922758832575196
30,PCA densMAP,Inter-Type,0.6214543844709636
31,PCA densMAP,Intra-Type,0.6523326886012053
32,PCA 50D,Inter-Type,0.9297131428746205
33,PCA 50D,Intra-Type,0.9502592799424696
34,PCA 2D,Inter-Type,0.5901190243652792
35,PCA 2D,Intra-Type,0.6809176316294553
36,PCA TSNE,Inter-Type,0.5418966581190355
37,PCA TSNE,Intra-Type,-0.21141532819257686
38,PCA UMAP,Inter-Type,0.5778017299828493
39,PCA UMAP,Intra-Type,-0.14521969189649855
40,PCA densSNE,Inter-Type,0.6388727335540572
41,PCA densSNE,Intra-Type,0.14199972521333967
42,PCA densMAP,Inter-Type,0.566106218703443
43,PCA densMAP,Intra-Type,0.6426240131875626
44,PCA 50D,Inter-Type,0.9294791469524208
45,PCA 50D,Intra-Type,0.9475897814510649
46,PCA 2D,Inter-Type,0.5901324309466974
47,PCA 2D,Intra-Type,0.6809262079653691
48,PCA TSNE,Inter-Type,0.6165055838780783
49,PCA TSNE,Intra-Type,-0.17972651546729543
50,PCA UMAP,Inter-Type,0.5972579484466837
51,PCA UMAP,Intra-Type,-0.15699535759877556
52,PCA densSNE,Inter-Type,0.6268538854965897
53,PCA densSNE,Intra-Type,0.12750357070281285
54,PCA densMAP,Inter-Type,0.5586534422024629
55,PCA densMAP,Intra-Type,0.6189383173238225
56,PCA 50D,Inter-Type,0.9295643507920475
57,PCA 50D,Intra-Type,0.9515620390717313
58,PCA 2D,Inter-Type,0.5901245371392841
59,PCA 2D,Intra-Type,0.6809242172626014
60,PCA TSNE,Inter-Type,0.5214878921307545
61,PCA TSNE,Intra-Type,-0.17599469316579872
62,PCA UMAP,Inter-Type,0.5508604144594705
63,PCA UMAP,Intra-Type,-0.03958478052973713
64,PCA densSNE,Inter-Type,0.6385980952726616
65,PCA densSNE,Intra-Type,0.1393713253415453
66,PCA densMAP,Inter-Type,0.6085075527495265
67,PCA densMAP,Intra-Type,0.656755439885241
68,PCA 50D,Inter-Type,0.9299232530826588
69,PCA 50D,Intra-Type,0.9494087794114456
70,PCA 2D,Inter-Type,0.5901165723817297
71,PCA 2D,Intra-Type,0.6809185232659379
72,PCA TSNE,Inter-Type,0.5981989880151256
73,PCA TSNE,Intra-Type,-0.19674947722365077
74,PCA UMAP,Inter-Type,0.6351022785957681
75,PCA UMAP,Intra-Type,-0.2316112481726429
76,PCA densSNE,Inter-Type,0.636526059615283
77,PCA densSNE,Intra-Type,0.11234554374547535
78,PCA densMAP,Inter-Type,0.5991408390817096
79,PCA densMAP,Intra-Type,0.6552704744044586
